ISO_A2,University,Count,Country,Region,Population
US,Alfred University,2074,United States of America,Americas,#N/A
US,Alice Lloyd College,2074,United States of America,Americas,#N/A
US,Allegheny College,2074,United States of America,Americas,#N/A
US,Allen University,2074,United States of America,Americas,#N/A
US,Alma College,2074,United States of America,Americas,#N/A
US,Alvernia College,2074,United States of America,Americas,#N/A
US,Alverno College,2074,United States of America,Americas,#N/A
US,Ambassador University,2074,United States of America,Americas,#N/A
US,Amber University,2074,United States of America,Americas,#N/A
US,American Academy of Nutrition,2074,United States of America,Americas,#N/A
US,American Business & Technology University,2074,United States of America,Americas,#N/A
US,American Conservatory of Music,2074,United States of America,Americas,#N/A
US,American Conservatory Theater,2074,United States of America,Americas,#N/A
US,American-European School of Management ,2074,United States of America,Americas,#N/A
US,American Film Institute Center for Advanced Film and Television Studies,2074,United States of America,Americas,#N/A
US,American Indian College,2074,United States of America,Americas,#N/A
US,American InterContinental University - Atlanta,2074,United States of America,Americas,#N/A
US,American InterContinental University - Ft. Lauderdale,2074,United States of America,Americas,#N/A
US,American InterContinental University - Georgia,2074,United States of America,Americas,#N/A
US,American InterContinental University Online,2074,United States of America,Americas,#N/A
US,American International College,2074,United States of America,Americas,#N/A
US,American Jewish University,2074,United States of America,Americas,#N/A
US,American Military University,2074,United States of America,Americas,#N/A
US,American Public University,2074,United States of America,Americas,#N/A
US,American University,2074,United States of America,Americas,#N/A
US,American World University,2074,United States of America,Americas,#N/A
US,Amherst College,2074,United States of America,Americas,#N/A
US,Anderson College,2074,United States of America,Americas,#N/A
US,Anderson University,2074,United States of America,Americas,#N/A
US,Andon College - Modesto,2074,United States of America,Americas,#N/A
US,Andon College - Stockton,2074,United States of America,Americas,#N/A
US,Andrew Jackson University,2074,United States of America,Americas,#N/A
US,Andrews University,2074,United States of America,Americas,#N/A
US,Angelo State University,2074,United States of America,Americas,#N/A
US,Anna Maria College,2074,United States of America,Americas,#N/A
US,Antioch New England Graduate School,2074,United States of America,Americas,#N/A
US,Antioch University,2074,United States of America,Americas,#N/A
US,Antioch University Los Angeles,2074,United States of America,Americas,#N/A
US,Antioch University Santa Barbara,2074,United States of America,Americas,#N/A
US,Antioch University Seattle,2074,United States of America,Americas,#N/A
US,Appalachian Bible College,2074,United States of America,Americas,#N/A
US,Appalachian State University,2074,United States of America,Americas,#N/A
US,Aquinas College,2074,United States of America,Americas,#N/A
US,Arcadia University,2074,United States of America,Americas,#N/A
US,Argosy University,2074,United States of America,Americas,#N/A
US,Argosy University - Hawaii,2074,United States of America,Americas,#N/A
US,Arizona Christian University,2074,United States of America,Americas,#N/A
US,Arizona State University,2074,United States of America,Americas,#N/A
US,"Arizona State University, Downtown Phoenix Campus",2074,United States of America,Americas,#N/A
US,"Arizona State University, Polytechnic Campus",2074,United States of America,Americas,#N/A
US,"Arizona State University, Tempe Campus",2074,United States of America,Americas,#N/A
US,"Arizona State University, West Campus",2074,United States of America,Americas,#N/A
US,Arkansas State University,2074,United States of America,Americas,#N/A
US,"Arkansas State University, Beebe",2074,United States of America,Americas,#N/A
US,"Arkansas State University, Mountain Home",2074,United States of America,Americas,#N/A
US,"Arkansas State University, Newport",2074,United States of America,Americas,#N/A
US,Arkansas Tech University,2074,United States of America,Americas,#N/A
US,Arlington Baptist College,2074,United States of America,Americas,#N/A
US,Armstrong Atlantic State University,2074,United States of America,Americas,#N/A
US,Armstrong University,2074,United States of America,Americas,#N/A
US,Art Academy of Cincinnati,2074,United States of America,Americas,#N/A
US,Art Center College of Design,2074,United States of America,Americas,#N/A
US,Arthur D. Little Management Education Institute,2074,United States of America,Americas,#N/A
US,Art Institute of Charlotte,2074,United States of America,Americas,#N/A
US,Art Institute of Southern California,2074,United States of America,Americas,#N/A
US,Asbury College,2074,United States of America,Americas,#N/A
US,Ashland University,2074,United States of America,Americas,#N/A
US,Assumption College,2074,United States of America,Americas,#N/A
US,Athenaeum of Ohio,2074,United States of America,Americas,#N/A
US,Athens State College,2074,United States of America,Americas,#N/A
US,Atlanta Christian College,2074,United States of America,Americas,#N/A
US,Atlanta College of Art,2074,United States of America,Americas,#N/A
US,Atlantic International University,2074,United States of America,Americas,#N/A
US,Atlantic Union College,2074,United States of America,Americas,#N/A
US,Atlantic University,2074,United States of America,Americas,#N/A
US,Auburn University,2074,United States of America,Americas,#N/A
US,Auburn University at Montgomery,2074,United States of America,Americas,#N/A
US,Audrey Cohen College,2074,United States of America,Americas,#N/A
US,Augsburg College,2074,United States of America,Americas,#N/A
US,Augustana College,2074,United States of America,Americas,#N/A
US,Augustana College,2074,United States of America,Americas,#N/A
US,Augusta State University,2074,United States of America,Americas,#N/A
US,Aurora University,2074,United States of America,Americas,#N/A
US,Austin College,2074,United States of America,Americas,#N/A
US,Austin Community College,2074,United States of America,Americas,#N/A
US,Austin Peay State University,2074,United States of America,Americas,#N/A
US,Ave Maria University,2074,United States of America,Americas,#N/A
US,Averett College,2074,United States of America,Americas,#N/A
US,Avila College,2074,United States of America,Americas,#N/A
US,Azusa Pacific University,2074,United States of America,Americas,#N/A
US,Babson College,2074,United States of America,Americas,#N/A
US,Baker College of Auburn Hills,2074,United States of America,Americas,#N/A
US,Baker College of Cadillac,2074,United States of America,Americas,#N/A
US,Baker College of Flint,2074,United States of America,Americas,#N/A
US,Baker College of Mount Clemens,2074,United States of America,Americas,#N/A
US,Baker College of Muskegon,2074,United States of America,Americas,#N/A
US,Baker College of Owosso,2074,United States of America,Americas,#N/A
US,Baker College of Port Huron,2074,United States of America,Americas,#N/A
US,Baker University,2074,United States of America,Americas,#N/A
US,Baldwin-Wallace College,2074,United States of America,Americas,#N/A
US,Ball State University,2074,United States of America,Americas,#N/A
US,Baltimore Hebrew University,2074,United States of America,Americas,#N/A
US,Baltimore International College,2074,United States of America,Americas,#N/A
US,Bank Street College of Education,2074,United States of America,Americas,#N/A
US,Baptist Bible College of Missouri,2074,United States of America,Americas,#N/A
US,Baptist Bible College of Pennsylvania,2074,United States of America,Americas,#N/A
US,Barat College,2074,United States of America,Americas,#N/A
US,Barber-Scotia College,2074,United States of America,Americas,#N/A
US,Barclay College,2074,United States of America,Americas,#N/A
US,Bard College,2074,United States of America,Americas,#N/A
US,Bard Graduate Center for Studies in the Decorative Arts,2074,United States of America,Americas,#N/A
US,Barnard College - Columbia University,2074,United States of America,Americas,#N/A
US,Barry University,2074,United States of America,Americas,#N/A
US,Bartlesville Wesleyan College,2074,United States of America,Americas,#N/A
US,Barton College,2074,United States of America,Americas,#N/A
US,Bastyr University,2074,United States of America,Americas,#N/A
US,Bates College,2074,United States of America,Americas,#N/A
US,Bauder College,2074,United States of America,Americas,#N/A
US,Baylor College of Dentistry,2074,United States of America,Americas,#N/A
US,Baylor College of Medicine,2074,United States of America,Americas,#N/A
US,Baylor University,2074,United States of America,Americas,#N/A
US,Belhaven College,2074,United States of America,Americas,#N/A
US,Bellarmine College,2074,United States of America,Americas,#N/A
US,Bellevue University,2074,United States of America,Americas,#N/A
US,Bellin College of Nursing,2074,United States of America,Americas,#N/A
US,Belmont Abbey College,2074,United States of America,Americas,#N/A
US,Belmont University,2074,United States of America,Americas,#N/A
US,Beloit College,2074,United States of America,Americas,#N/A
US,Bemidji State Univeristy,2074,United States of America,Americas,#N/A
US,Benedict College,2074,United States of America,Americas,#N/A
US,Benedictine College,2074,United States of America,Americas,#N/A
US,Benedictine University,2074,United States of America,Americas,#N/A
US,"Benedictine University, Springfield College in Illinois",2074,United States of America,Americas,#N/A
US,Bennett College,2074,United States of America,Americas,#N/A
US,Bennington College,2074,United States of America,Americas,#N/A
US,Bentley College,2074,United States of America,Americas,#N/A
US,Berea College,2074,United States of America,Americas,#N/A
US,Berean University of the Assemblies of God,2074,United States of America,Americas,#N/A
US,Berklee College of Music,2074,United States of America,Americas,#N/A
US,Berne University,2074,United States of America,Americas,#N/A
US,Berry College,2074,United States of America,Americas,#N/A
US,Bethany College California,2074,United States of America,Americas,#N/A
US,Bethany College Kansas,2074,United States of America,Americas,#N/A
US,Bethany College West Virginia,2074,United States of America,Americas,#N/A
US,Bethel College McKenzie,2074,United States of America,Americas,#N/A
US,Bethel College Mishawaka,2074,United States of America,Americas,#N/A
US,Bethel College Newton,2074,United States of America,Americas,#N/A
US,Beth-El College of Nursing and Health Sciences,2074,United States of America,Americas,#N/A
US,Bethel College St. Paul,2074,United States of America,Americas,#N/A
