university,country,region,established,numstudents
Cleary University,United States of America,Americas,1883,852
Ferris State University,United States of America,Americas,1884,14560
Woodbury University,United States of America,Americas,1884,1500
Arizona State University,United States of America,Americas,1885,70440
Georgia Institute of Technology,United States of America,Americas,1885,20487
University of St. Thomas (Minnesota),United States of America,Americas,1885,10534
Michigan Technological University,United States of America,Americas,1885,6957
Rollins College,United States of America,Americas,1885,2715
George W. Woodruff School of Mechanical Engineering,United States of America,Americas,1885,2488
Bryn Mawr College,United States of America,Americas,1885,1771
