ISO_A2,University,Count,Country
US,Westminster College Fulton,2074,United States of America
US,Westminster College New Wilmington,2074,United States of America
US,Westminster College of Salt Lake City,2074,United States of America
US,Westmont College,2074,United States of America
US,West Suburban College of Nursing,2074,United States of America
US,West Texas A&M University,2074,United States of America
US,West Virginia School of Osteopathic Medicine,2074,United States of America
US,West Virginia State College,2074,United States of America
US,West Virginia University,2074,United States of America
US,West Virginia University Institute of Technology,2074,United States of America
US,West Virginia Wesleyan College,2074,United States of America
US,Westwood College,2074,United States of America
US,Wheaton College Massachusetts,2074,United States of America
US,Wheeling Jesuit University,2074,United States of America
US,Wheelock College,2074,United States of America
US,Whitman College,2074,United States of America
US,Whittier College,2074,United States of America
US,Whitworth College,2074,United States of America
US,Wichita State University,2074,United States of America
US,Widener University,2074,United States of America
US,Wilberforce University,2074,United States of America
US,Wilbur Wright College,2074,United States of America
US,Wiley College,2074,United States of America
US,Wilkes University,2074,United States of America
US,Willamette University,2074,United States of America
US,William Carey College,2074,United States of America
US,William Jewell College,2074,United States of America
US,William Mitchell College of Law,2074,United States of America
US,William Paterson University,2074,United States of America
US,William Penn College,2074,United States of America
US,Williams Baptist College,2074,United States of America
US,Williams College,2074,United States of America
US,William Tyndale College,2074,United States of America
US,William Woods University,2074,United States of America
US,Wilmington College,2074,United States of America
US,Wilmington College,2074,United States of America
US,Wilson College,2074,United States of America
US,Wingate University,2074,United States of America
US,Winona State University,2074,United States of America
US,Winston-Salem State University,2074,United States of America
US,Winthrop University,2074,United States of America
US,Wisconsin Lutheran College,2074,United States of America
US,Wisconsin School of Professional Psychology,2074,United States of America
US,Wittenberg University,2074,United States of America
US,Wofford College,2074,United States of America
US,Woodbury University,2074,United States of America
US,Worcester Polytechnic Institute,2074,United States of America
US,Worcester State College,2074,United States of America
US,Wright Institute,2074,United States of America
US,Wright State University,2074,United States of America
US,Xavier University,2074,United States of America
US,Xavier University of Louisiana,2074,United States of America
US,Yale University,2074,United States of America
US,Yeshiva University,2074,United States of America
US,York College Nebraska,2074,United States of America
US,York College of Pennsylvania,2074,United States of America
US,Yorker International University,2074,United States of America
US,York University,2074,United States of America
US,Youngstown State University,2074,United States of America
GB,Aga Khan University,169,United Kingdom
GB,American InterContinental University - London,169,United Kingdom
GB,Anglia Ruskin University,169,United Kingdom
GB,Aston University,169,United Kingdom
GB,"Birkbeck College, University of London",169,United Kingdom
GB,Birmingham City University,169,United Kingdom
GB,Bournemouth University,169,United Kingdom
GB,British College of Osteopathic Medicine,169,United Kingdom
GB,Brunel University Uxbridge,169,United Kingdom
GB,Buckinghamshire New University,169,United Kingdom
GB,Camberwell College of Arts,169,United Kingdom
GB,Canterbury Christ Church University,169,United Kingdom
GB,Cardiff University,169,United Kingdom
GB,Central Saint Martins College of Art & Design,169,United Kingdom
GB,Chelsea College of Art and Design,169,United Kingdom
GB,City University,169,United Kingdom
GB,"Courtauld Institute of Art, University of London",169,United Kingdom
GB,Coventry University,169,United Kingdom
GB,Cranfield University,169,United Kingdom
GB,De Montfort University Leicester,169,United Kingdom
GB,European School of Economics,169,United Kingdom
GB,Falmouth University,169,United Kingdom
GB,Glasgow Caledonian University,169,United Kingdom
GB,Glasgow School of Art,169,United Kingdom
GB,"Goldsmiths College, University of London",169,United Kingdom
GB,Heriot-Watt University,169,United Kingdom
GB,"Heythrop College, University of London",169,United Kingdom
GB,Huron University USA in London,169,United Kingdom
GB,ifs University College,169,United Kingdom
GB,Imperial College London,169,United Kingdom
GB,Imperial College School of Medicine,169,United Kingdom
GB,"Institue of Historical Research, University of London",169,United Kingdom
GB,"Institute of Advanced Legal Studies, University of London",169,United Kingdom
GB,"Institute of Classical Studies, University of London",169,United Kingdom
GB,"Institute of Commonwealth Studies, University of London",169,United Kingdom
GB,"Institute of Education, University of London",169,United Kingdom
GB,"Institute of Germanic Studies, University of London",169,United Kingdom
GB,"Institute of Latin American Studies, University of London",169,United Kingdom
GB,International Centre for Isclamic Science,169,United Kingdom
GB,International Colleges of Islamic Science,169,United Kingdom
GB,Keele University,169,United Kingdom
GB,"King's College London, University of London",169,United Kingdom
GB,Kingston University,169,United Kingdom
GB,Leeds Metropolitan University,169,United Kingdom
GB,Liverpool Hope University College,169,United Kingdom
GB,Liverpool John Moores University,169,United Kingdom
GB,London Business School,169,United Kingdom
GB,London College of Science & Technology,169,United Kingdom
GB,London Guildhall University,169,United Kingdom
GB,London Institute of Management and Technology,169,United Kingdom
GB,London Metropolitan University,169,United Kingdom
GB,London School of Business & Finance,169,United Kingdom
GB,"London School of Economics and Political Science, University of London",169,United Kingdom
